t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,2
2,1,0,1,1,1,2,2,0,1
2,2,0,2,1,1,3,2,0,0
3,2,0,2,2,1,3,2,0,0
4,4,0,2,3,1,5,4,0,0
5,6,0,2,3,1,5,5,0,0
3,7,0,2,3,2,5,3,0,0
2,6,0,2,3,3,8,2,0,0
4,7,0,2,3,3,9,1,0,0
4,8,0,2,3,3,9,3,0,0
5,8,0,2,3,4,10,3,0,0
5,7,0,2,4,5,10,2,0,0
7,9,0,1,4,4,12,3,0,0
10,11,0,1,4,5,14,2,0,0
13,13,0,1,4,6,17,2,0,0
12,14,0,1,3,8,17,3,0,0
12,16,0,1,4,8,18,4,0,0
15,15,0,1,5,7,17,4,0,0
21,18,0,1,7,5,21,5,0,0
25,21,0,1,8,6,21,4,0,0
29,24,0,1,10,6,21,6,0,0
33,25,0,1,10,5,22,7,0,0
36,25,0,2,12,8,24,9,0,0
47,29,0,2,12,10,25,14,0,0
46,37,0,2,13,11,31,18,0,0
46,39,0,2,12,11,32,22,0,0
50,42,0,3,13,12,37,27,0,0
66,49,0,3,13,12,39,31,0,0
76,60,0,3,16,13,47,39,0,0
103,68,0,3,19,13,52,42,0,0
117,82,0,3,24,13,59,53,0,0
148,83,0,3,26,16,63,66,0,0
167,91,0,3,29,18,68,71,0,0
205,98,0,3,28,18,75,90,0,0
250,107,0,3,27,17,90,99,0,0
301,114,0,3,33,18,107,113,0,0
371,131,0,3,38,20,123,134,0,0
453,153,0,3,46,21,144,159,0,0
565,168,0,3,49,21,165,180,0,0
678,186,0,3,53,22,181,200,0,0
803,207,0,2,64,22,207,222,0,0
912,239,0,2,71,23,219,261,0,0
1031,266,0,2,73,25,242,289,0,0
1167,278,0,2,86,25,271,312,0,0
1318,284,0,2,91,23,306,343,0,0
1515,294,0,3,97,23,331,386,0,0
1700,318,0,4,102,25,369,406,0,0
1903,342,0,5,115,29,428,464,0,0
2159,364,0,6,129,28,495,524,0,0
2403,390,0,8,145,32,539,579,0,0
2665,436,0,7,181,38,620,680,0,0
2890,445,0,10,200,33,698,768,0,0
3025,483,0,10,228,37,758,821,0,0
3230,514,0,13,251,44,835,894,0,0
3336,551,0,16,269,43,933,991,0,0
3420,571,0,22,288,46,1006,1093,0,0
3436,592,0,28,330,42,1090,1158,0,0
3468,633,0,33,368,47,1188,1271,0,0
3504,667,0,33,403,53,1302,1347,0,0
3569,698,0,37,455,52,1430,1488,0,0
3560,745,0,46,496,55,1558,1610,0,0
3589,789,0,57,567,59,1716,1751,0,0
3550,854,0,67,648,58,1844,1871,0,0
3437,894,0,77,727,62,1965,1966,0,0
3338,937,0,88,815,60,2071,2058,0,0
3189,968,0,98,891,58,2159,2151,0,0
3048,1004,0,109,968,66,2245,2246,0,0
2909,1019,0,128,1068,68,2367,2264,0,0
2765,1064,0,151,1169,76,2468,2277,0,0
2620,1078,0,175,1288,74,2549,2311,0,0
2483,1083,0,200,1377,82,2656,2340,0,0
2333,1139,0,235,1491,88,2776,2346,0,0
2236,1189,0,273,1644,95,2856,2377,0,0
2102,1236,0,314,1767,104,2961,2391,0,0
1975,1268,0,360,1886,102,3030,2431,0,0
1865,1335,0,396,1967,108,3105,2409,0,0
1756,1378,0,454,2070,123,3123,2375,0,0
1635,1399,0,513,2187,120,3161,2315,0,0
1534,1411,0,558,2260,126,3157,2260,0,0
1444,1455,0,611,2324,129,3144,2178,0,0
1360,1485,0,670,2409,136,3167,2089,0,0
1279,1473,0,716,2506,145,3134,2032,0,0
1211,1489,0,775,2585,150,3111,1977,0,0
1131,1514,0,830,2653,151,3120,1886,0,0
1063,1519,0,910,2767,172,3111,1805,0,0
990,1556,0,1039,2864,178,3085,1734,0,0
918,1577,0,1135,2938,183,3055,1648,0,0
866,1601,0,1244,3010,201,3021,1588,0,0
792,1570,0,1311,3050,202,2954,1526,0,0
728,1576,0,1409,3060,214,2891,1456,0,0
684,1595,0,1500,3058,217,2801,1361,0,0
630,1553,0,1595,3027,237,2728,1287,0,0
577,1523,0,1715,3007,237,2655,1195,0,0
529,1523,0,1771,3024,244,2547,1131,0,0
483,1490,0,1858,3031,257,2460,1061,0,0
430,1461,0,1959,3053,262,2385,1018,0,0
401,1457,0,2071,3043,281,2326,965,0,0
365,1440,0,2178,3029,290,2276,910,0,0
337,1419,0,2256,2991,304,2214,851,0,0
312,1367,0,2347,2952,320,2125,793,0,0
289,1358,0,2436,2916,358,2046,738,0,0
267,1309,0,2510,2855,357,1956,671,0,0
253,1275,0,2567,2769,371,1876,637,0,0
237,1203,0,2646,2693,374,1785,598,0,0
208,1150,0,2707,2632,382,1707,556,0,0
190,1095,0,2759,2531,409,1645,525,0,0
177,1072,0,2830,2444,418,1568,482,0,0
167,1034,0,2910,2373,443,1498,448,0,0
158,1009,0,2965,2310,471,1435,428,0,0
150,965,0,3027,2251,484,1361,402,0,0
140,921,0,3077,2175,507,1292,376,0,0
134,899,0,3104,2079,526,1239,347,0,0
116,875,0,3144,2012,557,1178,330,0,0
108,848,0,3182,1916,568,1115,317,0,0
101,804,0,3214,1845,585,1068,291,0,0
100,778,0,3182,1765,600,1015,268,0,0
96,756,0,3204,1681,616,970,239,0,0
86,730,0,3180,1594,626,932,219,0,0
81,691,0,3201,1521,625,884,199,0,0
75,681,0,3190,1468,643,835,186,0,0
71,668,0,3218,1413,660,810,168,0,0
67,636,0,3225,1369,674,774,151,0,0
64,616,0,3252,1308,667,729,138,0,0
58,597,0,3212,1233,665,693,130,0,0
52,564,0,3196,1195,690,659,122,0,0
49,540,0,3166,1139,666,632,109,0,0
43,511,0,3097,1081,670,600,102,0,0
39,503,0,3029,1030,654,569,98,0,0
34,475,0,2983,978,656,543,91,0,0
31,447,0,2917,926,645,516,89,0,0
29,428,0,2859,879,654,493,82,0,0
28,407,0,2802,837,649,460,71,0,0
26,392,0,2755,794,655,438,69,0,0
23,383,0,2724,763,667,413,65,0,0
20,342,0,2669,721,689,390,60,0,0
18,327,0,2618,683,666,368,55,0,0
16,305,0,2554,651,645,352,55,0,0
14,294,0,2469,619,638,330,55,0,0
13,270,0,2385,580,632,308,48,0,0
12,256,0,2297,549,633,295,43,0,0
12,241,0,2220,528,613,278,41,0,0
11,225,0,2135,510,584,267,36,0,0
10,219,0,2076,492,568,253,35,0,0
10,218,0,2019,469,572,238,33,0,0
10,202,0,1974,434,576,225,32,0,0
9,189,0,1921,403,565,220,28,0,0
8,185,0,1856,386,534,207,27,0,0
9,175,0,1795,369,520,199,24,0,0
8,158,0,1740,350,501,193,21,0,0
7,140,0,1676,336,501,182,19,0,0
7,130,0,1599,318,472,168,16,0,0
7,118,0,1555,301,449,154,15,0,0
5,112,0,1492,287,432,145,11,0,0
5,110,0,1439,281,424,136,10,0,0
5,101,0,1376,266,402,126,9,0,0
4,96,0,1326,253,394,122,6,0,0
4,92,0,1270,243,394,115,8,0,0
4,94,0,1207,222,383,108,7,0,0
3,86,0,1154,214,378,102,6,0,0
3,79,0,1119,196,370,99,7,0,0
3,82,0,1079,195,364,96,7,0,0
3,75,0,1040,182,346,88,5,0,0
2,74,0,1001,171,340,82,5,0,0
2,67,0,974,161,328,81,5,0,0
2,64,0,922,156,338,76,5,0,0
2,60,0,876,140,311,73,5,0,0
2,52,0,839,131,295,70,3,0,0
2,48,0,796,122,287,68,3,0,0
1,49,0,779,116,275,66,3,0,0
1,48,0,740,112,266,65,1,0,0
1,48,0,710,106,260,64,1,0,0
1,45,0,676,98,244,58,1,0,0
1,43,0,656,94,245,55,1,0,0
1,42,0,630,92,237,50,1,0,0
1,38,0,615,81,223,46,0,0,0
1,36,0,588,78,221,43,0,0,0
1,32,0,568,76,207,40,0,0,0
1,28,0,536,71,207,38,0,0,0
1,25,0,519,68,203,38,0,0,0
1,23,0,500,63,185,37,0,0,0
1,25,0,481,60,173,35,0,0,0
1,25,0,463,55,169,33,0,0,0
1,16,0,447,54,171,32,0,0,0
0,15,0,417,52,170,25,0,0,0
0,13,0,407,50,161,24,0,0,0
0,10,0,386,47,158,24,0,0,0
0,10,0,369,46,146,23,0,0,0
0,8,0,355,43,135,22,0,0,0
0,9,0,344,41,132,21,0,0,0
0,9,0,333,36,125,21,0,0,0
0,7,0,321,36,115,20,0,0,0
0,7,0,307,34,117,20,0,0,0
0,8,0,292,31,114,17,0,0,0
0,7,0,275,31,111,17,0,0,0
0,4,0,267,29,98,17,0,0,0
0,4,0,251,28,98,17,0,0,0
0,4,0,244,25,101,15,0,0,0
0,4,0,243,25,96,13,0,0,0
0,3,0,232,22,91,12,0,0,0
0,3,0,226,21,93,12,0,0,0
0,2,0,223,20,92,12,0,0,0
0,2,0,211,19,90,10,0,0,0
0,2,0,198,18,87,10,0,0,0
0,1,0,192,14,86,9,0,0,0
0,1,0,185,13,86,9,0,0,0
0,1,0,173,13,82,9,0,0,0
0,1,0,165,14,89,8,0,0,0
0,1,0,157,12,87,8,0,0,0
0,1,0,148,12,82,7,0,0,0
0,1,0,142,11,86,7,0,0,0
0,1,0,133,10,85,5,0,0,0
0,1,0,127,9,83,5,0,0,0
0,1,0,122,9,80,5,0,0,0
0,1,0,116,8,79,5,0,0,0
0,2,0,110,7,69,5,0,0,0
0,2,0,107,7,68,5,0,0,0
0,2,0,102,5,70,5,0,0,0
0,0,0,97,5,67,4,0,0,0
0,0,0,93,5,63,4,0,0,0
0,0,0,90,5,56,3,0,0,0
0,0,0,86,5,58,3,0,0,0
0,0,0,83,5,48,3,0,0,0
0,0,0,80,5,47,2,0,0,0
0,0,0,74,5,49,2,0,0,0
0,0,0,71,5,50,2,0,0,0
0,0,0,71,5,48,2,0,0,0
0,0,0,67,4,42,2,0,0,0
0,0,0,64,4,38,2,0,0,0
0,0,0,60,4,37,2,0,0,0
0,0,0,60,4,32,2,0,0,0
0,0,0,60,4,32,2,0,0,0
0,0,0,55,4,32,2,0,0,0
0,0,0,50,4,28,2,0,0,0
0,0,0,47,4,27,2,0,0,0
0,0,0,47,4,26,2,0,0,0
0,0,0,42,4,24,2,0,0,0
0,0,0,41,3,24,2,0,0,0
0,0,0,42,3,24,2,0,0,0
0,0,0,41,3,19,1,0,0,0
0,0,0,39,3,22,1,0,0,0
0,0,0,37,3,19,1,0,0,0
0,0,0,36,3,16,0,0,0,0
0,0,0,36,2,17,0,0,0,0
0,0,0,32,2,17,0,0,0,0
0,0,0,31,2,17,0,0,0,0
0,0,0,32,2,18,0,0,0,0
0,0,0,28,2,16,0,0,0,0
0,0,0,26,2,15,0,0,0,0
0,0,0,26,1,14,0,0,0,0
0,0,0,26,1,13,0,0,0,0
0,0,0,25,1,13,0,0,0,0
0,0,0,25,1,11,0,0,0,0
0,0,0,23,1,11,0,0,0,0
0,0,0,23,1,10,0,0,0,0
0,0,0,23,1,15,0,0,0,0
0,0,0,23,1,14,0,0,0,0
0,0,0,22,1,15,0,0,0,0
0,0,0,22,1,16,0,0,0,0
0,0,0,22,1,15,0,0,0,0
0,0,0,21,0,15,0,0,0,0
0,0,0,19,0,13,0,0,0,0
0,0,0,19,0,15,0,0,0,0
0,0,0,18,0,15,0,0,0,0
0,0,0,18,0,16,0,0,0,0
0,0,0,16,0,15,0,0,0,0
0,0,0,15,0,13,0,0,0,0
0,0,0,14,0,15,0,0,0,0
0,0,0,13,0,15,0,0,0,0
0,0,0,13,0,10,0,0,0,0
0,0,0,12,0,8,0,0,0,0
0,0,0,12,0,6,0,0,0,0
0,0,0,9,0,7,0,0,0,0
0,0,0,8,0,4,0,0,0,0
0,0,0,7,0,4,0,0,0,0
0,0,0,7,0,4,0,0,0,0
0,0,0,7,0,4,0,0,0,0
0,0,0,7,0,4,0,0,0,0
0,0,0,6,0,5,0,0,0,0
0,0,0,4,0,5,0,0,0,0
0,0,0,4,0,5,0,0,0,0
0,0,0,3,0,5,0,0,0,0
0,0,0,3,0,4,0,0,0,0
0,0,0,3,0,4,0,0,0,0
0,0,0,3,0,4,0,0,0,0
0,0,0,3,0,4,0,0,0,0
0,0,0,3,0,3,0,0,0,0
0,0,0,3,0,2,0,0,0,0
0,0,0,3,0,2,0,0,0,0
0,0,0,3,0,2,0,0,0,0
0,0,0,3,0,1,0,0,0,0
0,0,0,3,0,2,0,0,0,0
0,0,0,3,0,2,0,0,0,0
0,0,0,3,0,2,0,0,0,0
0,0,0,3,0,2,0,0,0,0
0,0,0,3,0,2,0,0,0,0
0,0,0,3,0,2,0,0,0,0
0,0,0,2,0,1,0,0,0,0
0,0,0,2,0,1,0,0,0,0
0,0,0,2,0,1,0,0,0,0
0,0,0,2,0,1,0,0,0,0
0,0,0,2,0,1,0,0,0,0
0,0,0,2,0,1,0,0,0,0
0,0,0,2,0,1,0,0,0,0
0,0,0,2,0,1,0,0,0,0
0,0,0,2,0,1,0,0,0,0
0,0,0,2,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
