Country,Note,Row,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20
US,from JHU global time series,cumulative confirmed,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,15,15,15,15,15,15,16,16,24,30,53,73,104,174,222,337,451,519,711,1109,1561,2157,2870,2968,4360,6141,8917,14157,19479,25825,33761,43850,54112,66055,84091,102276,122069,141205,162707,188724,214205,244610,276547,309699,337573,367215,397992,429686,464442,497943,527969,556522,581813,608878,637974,669272,701996,730337,756375,783716,809318,837422,871617,907908,940829,968518,990983,1015518,1043038,1072667,1106829,1136024,1161611,1184086,1208271,1233527,1261409,1288587,1314320,1334084,1352962,1375152,1396110,1423727,1449027,1474128,1493132,1514901,1535350,1559157,1584512,1608653,1630476,1651289,1670280,1689163,1707445,1730260,1754764,1779214,1799124,1816479,1837374,1857332,1878683,1903907,1926639,1944370,1961785,1979912,2000706,2023656,2048986,2074542,2094366,2114026,2137731,2163290,2191099,2222579,2255328,2281767,2312303,2347491,2382426,2422299,2467554,2510259,2549864,2590668,2636414,2687588,2742049,2795361,2841241,2891124,2936077,2996098,3054699,3117946,3185737,3245925,3304942,3364157,3431574,3498902,3576157,3647715,3711413,3773260,3834677,3899211,3970121,4038816,4112531,4178970,4233923,4290337,4356206,4426982,4495015,4562038,4620444,4667955,4713540
US,from JHU global time series,cumulative recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,12,12,12,12,17,17,105,121,147,176,178,178,348,361,681,869,1072,2665,5644,7024,8474,9001,9707,14652,17448,19581,21763,23559,25410,28790,31270,32988,43482,47763,52096,54703,58545,64840,70337,72329,75204,77366,80203,99079,100372,106988,111424,115936,120720,153947,164015,175382,180152,187180,189791,189910,195036,198993,212534,216169,232733,230287,243430,246414,250747,268376,272265,283178,289392,294312,298418,350135,361239,366736,379157,384902,391508,399991,406446,416461,444758,458231,463868,479258,485002,491706,500849,506367,518522,524855,533504,540292,547386,556606,561816,576334,583503,592191,599115,606715,617460,622133,640198,647548,656161,663562,670809,679308,685164,705203,720631,729994,781970,790404,894325,906763,924148,936476,953462,969111,983185,995576,1006326,1031939,1049098,1075882,1090645,1107204,1122720,1131121,1160087,1182018,1210849,1233269,1261624,1279414,1297863,1325804,1355363,1389425,1414155,1438160,1461885,1468689,1513446
US,from JHU global time series,cumulative death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,11,12,14,17,21,22,28,33,43,52,58,70,97,131,188,265,362,456,601,784,1021,1333,1746,2300,2934,3561,4381,5605,6846,8432,9747,11031,12470,14138,16447,18563,20638,22731,24777,26548,28376,30780,33329,35442,38056,40442,41671,43466,45923,48312,50749,52867,54517,55810,57235,59454,61960,64256,66125,67681,68777,70086,72393,74851,76770,78497,79976,80855,81868,83483,85234,87008,88669,89892,90644,91414,92965,94533,95756,97025,98146,98754,99267,99952,101461,102643,103809,104778,105364,106136,107169,108159,109168,110138,110818,111269,111774,112714,113631,114512,115334,116084,116382,116773,117612,118363,119067,119739,120349,120604,121010,121847,122604,125026,125631,126120,126361,126711,127432,128105,128803,129442,129689,129960,130285,131480,132300,133290,134101,134777,135205,135566,136466,137415,138358,139266,140119,140534,141025,142121,143316,144430,145560,146465,146935,148012,149374,150822,152055,153314,154447,154860,155402
US,cumulative recovered/cumulative confirmed,cumulative recovery rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,0.272727273,0.25,0.25,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0.230769231,0.333333333,0.333333333,0.333333333,0.333333333,0.4,0.4,0.375,0.4375,0.291666667,0.233333333,0.132075472,0.095890411,0.067307692,0.040229885,0.031531532,0.020771513,0.015521064,0.013487476,0.011251758,0.007213706,0.00768738,0.005563282,0.004181185,0.004043127,0.003899083,0.002768279,0.011775261,0.008547009,0.007546589,0.006815102,0.005272356,0.004059293,0.006431106,0.005465143,0.00809837,0.008496617,0.008781918,0.018873269,0.03468812,0.037218372,0.039560234,0.036797351,0.035100724,0.047310453,0.051686598,0.053322985,0.054682004,0.05482841,0.054710814,0.057817863,0.059226962,0.059275285,0.074735353,0.078444286,0.0816585,0.081735079,0.083397911,0.088780933,0.092992233,0.092289809,0.092922683,0.092385918,0.092016333,0.109128899,0.106684637,0.110465681,0.112437852,0.114164397,0.115738832,0.143517979,0.148184589,0.154382302,0.155088063,0.158079734,0.157076517,0.153956906,0.154617574,0.154427291,0.161706434,0.162035524,0.172017396,0.167462942,0.174363052,0.17307672,0.173045085,0.18205746,0.182344896,0.186928387,0.188486013,0.188763543,0.188334326,0.217657257,0.221554319,0.222090742,0.22700206,0.227865517,0.229294648,0.231173928,0.23162431,0.234070213,0.247208086,0.252263307,0.252462482,0.25803572,0.258160637,0.258261564,0.259959961,0.260427285,0.264311329,0.265090065,0.26665787,0.266988065,0.267149702,0.268303076,0.268251108,0.272623894,0.272954361,0.273745545,0.273431278,0.272977923,0.27377836,0.272654044,0.276865964,0.275846851,0.275417159,0.273938932,0.271851801,0.270612714,0.268706096,0.272208944,0.273337571,0.271616781,0.285177252,0.282755608,0.314765625,0.313636842,0.31475605,0.31256521,0.312129608,0.310817121,0.308620894,0.306715651,0.304491274,0.306745196,0.305719183,0.307491322,0.304976823,0.303533582,0.302504733,0.299772875,0.30252535,0.303142867,0.304990452,0.305354094,0.30677556,0.306155344,0.306539113,0.309020946,0.311133817,0.313853772,0.314605179,0.315245072,0.316394918,0.31463221,0.32108479
US,from cumulative confirmed,new confirmed,1,0,1,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,8,6,23,20,31,70,48,115,114,68,192,398,452,596,713,98,1392,1781,2776,5240,5322,6346,7936,10089,10262,11943,18036,18185,19793,19136,21502,26017,25481,30405,31937,33152,27874,29642,30777,31694,34756,33501,30026,28553,25291,27065,29096,31298,32724,28341,26038,27341,25602,28104,34195,36291,32921,27689,22465,24535,27520,29629,34162,29195,25587,22475,24185,25256,27882,27178,25733,19764,18878,22190,20958,27617,25300,25101,19004,21769,20449,23807,25355,24141,21823,20813,18991,18883,18282,22815,24504,24450,19910,17355,20895,19958,21351,25224,22732,17731,17415,18127,20794,22950,25330,25556,19824,19660,23705,25559,27809,31480,32749,26439,30536,35188,34935,39873,45255,42705,39605,40804,45746,51174,54461,53312,45880,49883,44953,60021,58601,63247,67791,60188,59017,59215,67417,67328,77255,71558,63698,61847,61417,64534,70910,68695,73715,66439,54953,56414,65869,70776,68033,67023,58406,47511,45585
US,from cumulative recovered,new recovery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,5,0,88,16,26,29,2,0,170,13,320,188,203,1593,2979,1380,1450,527,706,4945,2796,2133,2182,1796,1851,3380,2480,1718,10494,4281,4333,2607,3842,6295,5497,1992,2875,2162,2837,18876,1293,6616,4436,4512,4784,33227,10068,11367,4770,7028,2611,119,5126,3957,13541,3635,16564,-2446,13143,2984,4333,17629,3889,10913,6214,4920,4106,51717,11104,5497,12421,5745,6606,8483,6455,10015,28297,13473,5637,15390,5744,6704,9143,5518,12155,6333,8649,6788,7094,9220,5210,14518,7169,8688,6924,7600,10745,4673,18065,7350,8613,7401,7247,8499,5856,20039,15428,9363,51976,8434,103921,12438,17385,12328,16986,15649,14074,12391,10750,25613,17159,26784,14763,16559,15516,8401,28966,21931,28831,22420,28355,17790,18449,27941,29559,34062,24730,24005,23725,6804,44757
US,from cumulative death,new death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,4,1,2,3,4,1,6,5,10,9,6,12,27,34,57,77,97,94,145,183,237,312,413,554,634,627,820,1224,1241,1586,1315,1284,1439,1668,2309,2116,2075,2093,2046,1771,1828,2404,2549,2113,2614,2386,1229,1795,2457,2389,2437,2118,1650,1293,1425,2219,2506,2296,1869,1556,1096,1309,2307,2458,1919,1727,1479,879,1013,1615,1751,1774,1661,1223,752,770,1551,1568,1223,1269,1121,608,513,685,1509,1182,1166,969,586,772,1033,990,1009,970,680,451,505,940,917,881,822,750,298,391,839,751,704,672,610,255,406,837,757,2422,605,489,241,350,721,673,698,639,247,271,325,1195,820,990,811,676,428,361,900,949,943,908,853,415,491,1096,1195,1114,1130,905,470,1077,1362,1448,1233,1259,1133,413,542
US,I(t-1) + new confirmed - new recovery - new death,I(t),1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,9,16,22,40,59,86,155,201,313,423,490,675,1068,1506,2093,2800,2886,4246,5993,8624,13771,18970,25193,32982,42888,52743,64361,81664,99107,118063,134979,152682,176095,198885,227177,257093,284016,307655,333496,359782,387564,418394,446422,471922,496986,509955,530335,552549,579127,605395,625055,644367,667921,688191,711744,740665,755962,785940,805720,822324,840128,860358,854464,876689,892961,912682,926820,946087,968766,989603,1011097,1021810,1037060,1038361,1061382,1067446,1090305,1109611,1115860,1130223,1140309,1152993,1170312,1190338,1161493,1171091,1185799,1191856,1204309,1214476,1227626,1244509,1257975,1249002,1252112,1266337,1269915,1284513,1302063,1314972,1326734,1331489,1342343,1353571,1368852,1386266,1401852,1416168,1420919,1436616,1452736,1472917,1496125,1517519,1539030,1551095,1578096,1603661,1633711,1671114,1704831,1738339,1758754,1788351,1829489,1831276,1875515,1817227,1854401,1881644,1928142,1968937,2015545,2068451,2115572,2163411,2196652,2246010,2285605,2347154,2401245,2448574,2501605,2533565,2575072,2615956,2661117,2705347,2753091,2789125,2816521,2851469,2886735,2928805,2970564,3004112,3044406,3044692
US,R(t-1) + new recovery + new death,R(t),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,6,6,6,7,8,8,13,14,18,19,21,24,28,29,36,41,55,64,70,82,114,148,293,386,509,632,779,962,1369,1694,2427,3169,4006,6226,10025,12629,15320,17433,19454,25683,29918,33719,38210,42122,46048,51521,56047,59536,71858,78543,85425,90145,96601,105282,112008,115795,121127,125678,130952,151946,154889,162798,168659,175390,182680,218203,230140,243063,248929,257266,262184,264761,271806,277490,292510,297024,314601,313770,328664,333422,339416,358268,362909,374592,382357,388845,394174,447160,459385,465490,478424,484854,492969,502634,510255,521239,550122,564367,571037,587417,594170,601844,611667,617636,630296,637569,647135,654804,662720,672690,678198,693107,701115,710554,718182,726454,737809,742737,761208,769395,778765,788588,796440,805428,811525,831914,848063,858099,910773,919846,1024014,1036723,1054433,1067956,1085762,1102401,1117286,1130353,1141531,1167505,1185564,1213297,1229003,1246470,1262839,1271655,1301112,1324139,1354165,1377699,1407184,1425879,1444798,1473816,1504737,1540247,1566210,1591474,1616332,1623549,1668848
US,[[I(t+1)-I(t)]+[R(t+1)-R(t)]]/I(t),beta(t),0,1,0,1.5,0,0,0,0,0.4,0.142857143,0,0.375,0,0,0,0,0,0,0,0.125,0,0.111111111,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.111111111,0,0.888888889,0.375,1.045454545,0.5,0.525423729,0.813953488,0.309677419,0.572139303,0.364217252,0.160756501,0.391836735,0.58962963,0.423220974,0.395750332,0.340659341,0.035,0.482328482,0.419453603,0.463207075,0.607606679,0.386464309,0.334528202,0.315008137,0.305894124,0.239274389,0.226437632,0.280231817,0.222680741,0.199713441,0.162082956,0.159298854,0.170399916,0.144700304,0.152877291,0.140582013,0.128949446,0.098142358,0.096348182,0.092285964,0.088092234,0.089678092,0.08007046,0.06725923,0.060503643,0.050888757,0.05307331,0.054863435,0.05664294,0.056505741,0.046814064,0.041657134,0.042430789,0.03833088,0.0408375,0.04804396,0.04899786,0.043548485,0.035230425,0.027881894,0.029836172,0.032756913,0.03443799,0.039980619,0.033301433,0.028654107,0.024625225,0.026094603,0.026695219,0.028780944,0.027463538,0.025450575,0.019342148,0.018203383,0.021370217,0.019745954,0.025872035,0.023204516,0.022621441,0.01703081,0.019260801,0.017932859,0.020648,0.021665163,0.020280794,0.018788749,0.017772317,0.016015362,0.015843357,0.015180489,0.01878588,0.019960477,0.019646302,0.015827024,0.013895094,0.016687804,0.015760418,0.016812936,0.019637014,0.017458449,0.013483937,0.013126218,0.013614082,0.015490825,0.01695515,0.018504557,0.018435134,0.014141293,0.013882534,0.016682865,0.017791115,0.019142501,0.021372555,0.021889214,0.017422517,0.019841069,0.022685909,0.022137437,0.024863734,0.027700738,0.02555481,0.023231042,0.023472982,0.02601046,0.028615188,0.029768422,0.029111942,0.024462614,0.027450065,0.024241251,0.03189817,0.030392471,0.032122409,0.033634079,0.029098103,0.027896474,0.027371128,0.030690797,0.029976714,0.033800679,0.030487135,0.026527072,0.025258375,0.024551038,0.025471618,0.027537094,0.026259998,0.027700774,0.024558402,0.019960474,0.020226415,0.023386653,0.024820891,0.023567456,0.022884077,0.019661586,0.015815322,0.014973364,
US,[R(t+1)-R(t)]/I(t),gamma(t),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0.1,0.111111111,0,0.227272727,0.025,0.06779661,0.011627907,0.012903226,0.014925373,0.012779553,0.002364066,0.014285714,0.007407407,0.013108614,0.005976096,0.002866699,0.004285714,0.011088011,0.008007537,0.024194894,0.010783859,0.008931813,0.006483922,0.005834954,0.005548481,0.009489834,0.006161955,0.011388885,0.009086011,0.008445418,0.01880352,0.028145119,0.017055056,0.015281524,0.01062423,0.008896147,0.024228587,0.014911132,0.012354748,0.013466428,0.010873251,0.01012994,0.013080972,0.010138389,0.007393171,0.024793455,0.013109,0.012976703,0.008542229,0.011147814,0.014339398,0.010760653,0.005877086,0.00798298,0.00661299,0.007409968,0.028344798,0.003893053,0.010063109,0.007274239,0.008185338,0.008677249,0.041288626,0.013970161,0.014740689,0.006569156,0.009134616,0.005306316,0.002723851,0.007272138,0.005743717,0.014855152,0.004417651,0.016948875,-0.0008003,0.014032648,0.004457368,0.005497544,0.016989738,0.004159124,0.010336898,0.006809558,0.005627094,0.004553487,0.044513407,0.010525246,0.005213088,0.010907413,0.005394947,0.006738304,0.007958165,0.006207917,0.008825971,0.022959916,0.011405106,0.005327,0.012934945,0.005317679,0.005974249,0.007544182,0.00453926,0.009542229,0.005462306,0.007126346,0.005665754,0.005782948,0.007191982,0.003929088,0.010527706,0.005635789,0.006570301,0.005250782,0.005616067,0.007589606,0.003247406,0.012001715,0.005278207,0.005937535,0.006125359,0.004806236,0.005378448,0.003576308,0.011729013,0.009182069,0.005611874,0.028791646,0.004954469,0.055541011,0.006993623,0.009550254,0.0071868,0.009234797,0.008450753,0.007385099,0.006317288,0.005283677,0.01200604,0.008221147,0.012347674,0.006871704,0.007441778,0.00681688,0.003600463,0.01177524,0.009088774,0.011660256,0.008996329,0.011079934,0.006910389,0.006871912,0.01040398,0.010978438,0.01245323,0.008993898,0.008626044,0.008368108,0.002402374,0.014879421,
US,new recovery/I(t),dynamic recovery rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.111111111,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0.001481481,0,0.002656042,0,0,0,0.001177579,0,0.010204082,0.001161862,0.001370585,0.001151113,6.06391E-05,0,0.003223177,0.000201986,0.003918495,0.00189694,0.001719421,0.011801836,0.019511141,0.007836679,0.007290645,0.002319777,0.002746088,0.017410991,0.009088102,0.006395879,0.006064784,0.004634073,0.00442406,0.007571311,0.005255106,0.003456838,0.020578286,0.008072256,0.007841838,0.004501603,0.00634627,0.010071114,0.008530853,0.002982389,0.004177619,0.003037609,0.003830342,0.024969509,0.001645164,0.008211289,0.005394467,0.00537061,0.005560476,0.038886366,0.011484118,0.012729559,0.005226355,0.007582918,0.002759788,0.000122837,0.005179855,0.003913571,0.013251974,0.003505101,0.015952063,-0.002304543,0.012312567,0.002736849,0.003904972,0.015798577,0.003440914,0.009570213,0.005389452,0.004204007,0.00344944,0.044526312,0.009481757,0.004635693,0.010421561,0.00477037,0.005439383,0.006910085,0.005186785,0.007961207,0.022655688,0.01076022,0.004451422,0.012118921,0.004471734,0.005148752,0.006953,0.004159085,0.009128878,0.00471787,0.006389765,0.0049589,0.005117344,0.006577014,0.003678942,0.010217331,0.004990199,0.00598044,0.004700876,0.005079789,0.007080636,0.003036328,0.011646611,0.004657511,0.005370836,0.004530177,0.004336628,0.004985245,0.003368733,0.011393862,0.008626942,0.005117823,0.028382396,0.004496898,0.057186582,0.006707287,0.009239261,0.00639372,0.00862699,0.007764153,0.006804125,0.005857045,0.004969005,0.011660017,0.00763977,0.01171856,0.006289745,0.006896006,0.006336749,0.003358244,0.011432902,0.008516655,0.01102121,0.008425034,0.010481095,0.006461828,0.006614619,0.009920395,0.010366236,0.01179949,0.008443717,0.008080957,0.007897508,0.002234919,0.014700009